currency_pair,open_date,position,trade_amount,result
AU/SW,2018-03-27,short,52.210266308613086,18.555528646081086
CA/SW,2018-03-27,short,51.16205214792971,14.808855994218247
AU/JP,2018-03-27,short,52.361920892819626,12.68991676456692
CA/JP,2018-03-27,short,38.4885799428838,6.789389350782691
CA/AU,2018-03-27,short,84.4475314214548,-5.569314697244949
CA/JP,2018-03-28,short,37.268579942883804,6.574181228782691
AU/JP,2018-03-28,short,51.23192089281964,12.416061151566923
CA/AU,2018-03-28,short,83.2275314214548,-5.488855697244949
AU/SW,2018-03-28,short,51.0802663086131,18.153926646081093
CA/SW,2018-03-28,short,49.94205214792971,14.455726994218248
JP/SW,2018-03-28,short,182.67865479671025,20.651803656902622
JP/SW,2018-03-29,short,181.98865479671022,20.57379922590262
AU/SW,2018-03-29,short,51.03026630861308,18.136156646081083
CA/SW,2018-03-29,short,50.32205214792971,14.565717994218248
AU/JP,2018-03-29,short,51.18192089281962,12.403943646566919
CA/JP,2018-03-29,short,37.648579942883806,6.6412132667826915
CA/AU,2018-03-29,short,83.60753142145481,-5.51391669724495
CA/AU,2018-04-02,short,84.10753142145481,-5.54689169724495
JP/SW,2018-04-02,short,182.25865479671023,20.604322698902617
AU/SW,2018-04-02,short,51.2802663086131,18.22500664608109
CA/SW,2018-04-02,short,50.82205214792971,14.710442994218248
AU/JP,2018-04-02,short,51.43192089281964,12.464531171566923
CA/JP,2018-04-02,short,38.148579942883806,6.729413316782692
CA/AU,2018-04-03,short,83.4475314214548,-5.503364697244949
CA/JP,2018-04-03,short,37.4885799428838,6.612989250782691
AU/JP,2018-04-03,short,50.95192089281962,12.34820312356692
JP/SW,2018-04-03,short,182.39865479671022,20.620149684902618
AU/SW,2018-04-03,short,50.80026630861308,18.054414646081085
CA/SW,2018-04-03,short,50.1620521479297,14.519405994218245
JP/SW,2018-04-04,short,182.59865479671024,20.64275966490262
AU/SW,2018-04-04,short,50.6402663086131,17.99755064608109
CA/SW,2018-04-04,short,50.032052147929704,14.481777494218246
AU/JP,2018-04-04,short,50.79192089281964,12.309427107566924
CA/JP,2018-04-04,short,37.35857994288381,6.590057237782692
CA/AU,2018-04-04,short,83.3175314214548,-5.4947911972449495
AU/JP,2018-04-05,short,50.451920892819636,12.227028073566924
CA/JP,2018-04-05,short,36.71357994288381,6.476279173282693
CA/AU,2018-04-05,short,82.6725314214548,-5.45225344724495
CA/SW,2018-04-05,short,49.38705214792971,14.295082244218248
JP/SW,2018-04-05,short,181.84865479671024,20.557972239902618
AU/SW,2018-04-05,short,50.3002663086131,17.87671464608109
JP/SW,2018-04-06,short,182.66865479671023,20.650673157902617
AU/SW,2018-04-06,short,50.80026630861308,18.054414646081085
CA/SW,2018-04-06,short,49.89705214792971,14.44270174421825
AU/JP,2018-04-06,short,50.95192089281962,12.34820312356692
CA/JP,2018-04-06,short,37.22357994288381,6.566243224282692
CA/AU,2018-04-06,short,83.18253142145481,-5.48588794724495
CA/JP,2018-04-09,short,37.268579942883804,6.574181228782691
AU/JP,2018-04-09,short,51.191920892819645,12.406367147566925
CA/AU,2018-04-09,short,83.2275314214548,-5.488855697244949
AU/SW,2018-04-09,short,51.040266308613106,18.139710646081095
JP/SW,2018-04-09,short,183.13865479671023,20.703806610902618
CA/SW,2018-04-09,short,49.94205214792971,14.455726994218248
